,prolific_id,tag,condition_num,background,commentator,outcome,model_descr_variant,sport,question1,question2,question3,question4,question5,question6,question7,question8,slider_val1,slider_val2,slider_val3,slider_val4,slider_val5,slider_val6,slider_val7,slider_val8
2007,5f6cdde7a8d71310b06e402a,tug-of-war_effort_team-diverse-17,11.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Ness and Indiana beat Max and Willow.<br>
In the second match, Ness and Robin beat Lane and Gale.<br>
In the third match, Ness and Val beat Kay and PZ.<br>",implicit,tug-of-war,"[""How likely is it that Ness tried hard in the second match?"",""latent-1""]","[""How likely is it that Indiana tried hard in the first match?"",""latent-2""]","[""How likely is it that Max tried hard in the first match?"",""latent-3""]","[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Indiana is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Max is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Ness and Indiana will beat Max and Gale?"",""new-1""]","[""In a new match, how likely is it that Ness and Max will beat Indiana and Willow?"",""new-2""]",66.0,69.0,58.0,74.0,45.0,42.0,62.0,62.0
2010,5f6cdde7a8d71310b06e402a,tug-of-war_effort_team-weak-indirect-15,11.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Blake and Fey beat Taylor and Max.<br>
In the second match, Fey and Casey beat Taylor and Max.<br>
In the third match, Fey and Willow beat Taylor and Max.<br>",implicit,tug-of-war,"[""How likely is it that Blake tried hard in the first match?"",""latent-1""]","[""How likely is it that Fey tried hard in the second match?"",""latent-2""]","[""How likely is it that Taylor tried hard in the second match?"",""latent-3""]","[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Fey is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Taylor is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Blake and Fey will beat Casey and Taylor?"",""new-1""]","[""In a new match, how likely is it that Blake and Taylor will beat Fey and Max?"",""new-2""]",68.0,68.0,59.0,45.0,56.0,38.0,64.0,63.0
2014,5f6cdde7a8d71310b06e402a,diving_effort_team-confounded-partner-10,11.0,"In this event, teams of players are competing in rounds of a synchronized diving tournament.
Teams compete in synchronized diving. Each team member jumps at the same time.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Max and Indiana lost to Peyton and Emery.<br>
In the second match, Max and Indiana lost to Drew and Robin.<br>
In the third match, Max and Indiana lost to Harper and Val.<br>",implicit,diving,"[""How likely is it that Max tried hard in the first match?"",""latent-1""]","[""How likely is it that Indiana tried hard in the second match?"",""latent-2""]","[""How likely is it that Drew tried hard in the second match?"",""latent-3""]","[""How likely is it that Max is intrinsically more skilled than a random typical competitor?"",""skill-1""]","[""How likely is it that Indiana is intrinsically more skilled than a random typical competitor?"",""skill-2""]","[""How likely is it that Drew is intrinsically more skilled than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Max and Indiana will beat Peyton and Val?"",""new-1""]","[""In a new match, how likely is it that Max and Peyton will beat Indiana and Emery?"",""new-2""]",58.0,60.0,70.0,39.0,36.0,47.0,34.0,40.0
2017,5f6cdde7a8d71310b06e402a,diving_effort_individ-strong-indirect-4,11.0,"In this event, teams of players are competing in rounds of a synchronized diving tournament.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Jamie lost to Max.<br>
In the second match, Max lost to Fey.<br>
In the third match, Max lost to Indiana.<br>",implicit,diving,"[""How likely is it that Jamie tried hard in the first match?"",""latent-1""]","[""How likely is it that Max tried hard in the second match?"",""latent-2""]","[""How likely is it that Fey tried hard in the second match?"",""latent-3""]","[""How likely is it that Jamie is intrinsically more skilled than a random typical competitor?"",""skill-1""]","[""How likely is it that Max is intrinsically more skilled than a random typical competitor?"",""skill-2""]","[""How likely is it that Fey is intrinsically more skilled than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Jamie will beat Fey?"",""new-1""]","[""In a new match, how likely is it that Jamie will beat Indiana?"",""new-2""]",58.0,60.0,75.0,43.0,40.0,47.0,44.0,40.0
2020,5f6cdde7a8d71310b06e402a,diving_effort_team-round-robin-20,11.0,"In this event, teams of players are competing in rounds of a synchronized diving tournament.
Teams compete in synchronized diving. Each team member jumps at the same time.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Ollie and Willow lost to Blake and Fey.<br>
In the second match, Ollie and Blake lost to Willow and Fey.<br>
In the third match, Ollie and Fey lost to Willow and Blake.<br>",implicit,diving,"[""How likely is it that Ollie tried hard in the second match?"",""latent-1""]","[""How likely is it that Willow tried hard in the first match?"",""latent-2""]","[""How likely is it that Blake tried hard in the first match?"",""latent-3""]","[""How likely is it that Ollie is intrinsically more skilled than a random typical competitor?"",""skill-1""]","[""How likely is it that Willow is intrinsically more skilled than a random typical competitor?"",""skill-2""]","[""How likely is it that Blake is intrinsically more skilled than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Ollie and Willow will beat Blake and Sam?"",""new-1""]","[""In a new match, how likely is it that Ollie and Blake will beat Willow and Sam?"",""new-2""]",61.0,59.0,69.0,39.0,58.0,45.0,54.0,40.0
2030,5cba50bf114fa5001aac5570,tug-of-war_effort_team-weak-indirect-15,3.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Blake and Fey beat Taylor and Max.<br>
In the second match, Fey and Casey beat Taylor and Max.<br>
In the third match, Fey and Willow beat Taylor and Max.<br>",explicit,tug-of-war,"[""How likely is it that Blake tried hard in the first match?"",""latent-1""]","[""How likely is it that Fey tried hard in the second match?"",""latent-2""]","[""How likely is it that Taylor tried hard in the second match?"",""latent-3""]","[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Fey is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Taylor is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Blake and Fey will beat Casey and Taylor?"",""new-1""]","[""In a new match, how likely is it that Blake and Taylor will beat Fey and Max?"",""new-2""]",80.0,80.0,23.0,77.0,100.0,1.0,75.0,51.0
2033,5cba50bf114fa5001aac5570,tug-of-war_effort_team-diverse-17,3.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Ness and Indiana beat Max and Willow.<br>
In the second match, Ness and Robin beat Lane and Gale.<br>
In the third match, Ness and Val beat Kay and PZ.<br>",explicit,tug-of-war,"[""How likely is it that Ness tried hard in the second match?"",""latent-1""]","[""How likely is it that Indiana tried hard in the first match?"",""latent-2""]","[""How likely is it that Max tried hard in the first match?"",""latent-3""]","[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Indiana is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Max is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Ness and Indiana will beat Max and Gale?"",""new-1""]","[""In a new match, how likely is it that Ness and Max will beat Indiana and Willow?"",""new-2""]",72.0,76.0,25.0,100.0,76.0,26.0,77.0,51.0
2036,5cba50bf114fa5001aac5570,tug-of-war_effort_individ-explain-away-bonus,3.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Gale beat Sam.<br>
In the second match, Gale lost to Sam.<br>
In the third match, Sam lost to Blake.<br>
In the fourth match, Sam lost to Quinn.<br>
In the fifth match, Gale beat Taylor.<br>
In the sixth match, Gale beat Willow.<br>",explicit,tug-of-war,"[""How likely is it that Gale tried hard in the second match?"",""latent-1""]","[""How likely is it that Sam tried hard in the first match?"",""latent-2""]","[""How likely is it that Blake tried hard in the third match?"",""latent-3""]","[""How likely is it that Gale is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Sam is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Gale will beat Sam ?"",""new-1""]","[""In a new match, how likely is it that Gale will beat Blake?"",""new-2""]",26.0,27.0,27.0,100.0,24.0,74.0,77.0,51.0
2040,5cba50bf114fa5001aac5570,canoe-race_effort_individ-strong-indirect-4,3.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
The stronger the athlete, the faster they can individually row.
Athletes also vary in how often they try their hardest in any given race.
If an athlete doesn’t try hard in any given match, that athlete only rows about half as quickly as they could.
Each canoe team moves as fast as the average effective speed of all of its athletes in that race.
The canoe team that is the fastest will win a given race.",,"In the first match, Val lost to Ness.<br>
In the second match, Ness lost to Fey.<br>
In the third match, Ness lost to Max.<br>",explicit,canoe-race,"[""How likely is it that Val tried hard in the first match?"",""latent-1""]","[""How likely is it that Ness tried hard in the second match?"",""latent-2""]","[""How likely is it that Fey tried hard in the second match?"",""latent-3""]","[""How likely is it that Val is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Fey is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Val will beat Fey?"",""new-1""]","[""In a new match, how likely is it that Val will beat Max?"",""new-2""]",25.0,26.0,76.0,25.0,25.0,76.0,25.0,26.0
2043,5cba50bf114fa5001aac5570,canoe-race_effort_team-confounded-partner-10,3.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
The stronger the athlete, the faster they can individually row.
Athletes also vary in how often they try their hardest in any given race.
If an athlete doesn’t try hard in any given match, that athlete only rows about half as quickly as they could.
Each canoe team moves as fast as the average effective speed of all of its athletes in that race.
The canoe team that is the fastest will win a given race.",,"In the first match, Robin and Quinn lost to Willow and Taylor.<br>
In the second match, Robin and Quinn lost to Indiana and Sam.<br>
In the third match, Robin and Quinn lost to Blake and Kay.<br>",explicit,canoe-race,"[""How likely is it that Robin tried hard in the first match?"",""latent-1""]","[""How likely is it that Quinn tried hard in the second match?"",""latent-2""]","[""How likely is it that Indiana tried hard in the second match?"",""latent-3""]","[""How likely is it that Robin is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Quinn is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Indiana is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Robin and Quinn will beat Willow and Kay?"",""new-1""]","[""In a new match, how likely is it that Robin and Willow will beat Quinn and Taylor?"",""new-2""]",25.0,23.0,77.0,1.0,1.0,75.0,25.0,51.0
2046,5cba50bf114fa5001aac5570,canoe-race_effort_team-round-robin-20,3.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
The stronger the athlete, the faster they can individually row.
Athletes also vary in how often they try their hardest in any given race.
If an athlete doesn’t try hard in any given match, that athlete only rows about half as quickly as they could.
Each canoe team moves as fast as the average effective speed of all of its athletes in that race.
The canoe team that is the fastest will win a given race.",,"In the first match, Kay and Peyton lost to Ollie and Taylor.<br>
In the second match, Kay and Ollie lost to Peyton and Taylor.<br>
In the third match, Kay and Taylor lost to Peyton and Ollie.<br>",explicit,canoe-race,"[""How likely is it that Kay tried hard in the second match?"",""latent-1""]","[""How likely is it that Peyton tried hard in the first match?"",""latent-2""]","[""How likely is it that Ollie tried hard in the first match?"",""latent-3""]","[""How likely is it that Kay is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Peyton is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Ollie is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Kay and Peyton will beat Ollie and Indiana?"",""new-1""]","[""In a new match, how likely is it that Kay and Ollie will beat Peyton and Indiana?"",""new-2""]",26.0,25.0,76.0,2.0,80.0,76.0,77.0,25.0
2056,5cc8039e3ef93000171c96b8,tug-of-war_effort_team-weak-indirect-15,3.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Blake and Fey beat Taylor and Max.<br>
In the second match, Fey and Casey beat Taylor and Max.<br>
In the third match, Fey and Willow beat Taylor and Max.<br>",explicit,tug-of-war,"[""How likely is it that Blake tried hard in the first match?"",""latent-1""]","[""How likely is it that Fey tried hard in the second match?"",""latent-2""]","[""How likely is it that Taylor tried hard in the second match?"",""latent-3""]","[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Fey is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Taylor is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Blake and Fey will beat Casey and Taylor?"",""new-1""]","[""In a new match, how likely is it that Blake and Taylor will beat Fey and Max?"",""new-2""]",96.0,62.0,96.0,57.0,96.0,17.0,50.0,47.0
2059,5cc8039e3ef93000171c96b8,tug-of-war_effort_team-diverse-17,3.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Ness and Indiana beat Max and Willow.<br>
In the second match, Ness and Robin beat Lane and Gale.<br>
In the third match, Ness and Val beat Kay and PZ.<br>",explicit,tug-of-war,"[""How likely is it that Ness tried hard in the second match?"",""latent-1""]","[""How likely is it that Indiana tried hard in the first match?"",""latent-2""]","[""How likely is it that Max tried hard in the first match?"",""latent-3""]","[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Indiana is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Max is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Ness and Indiana will beat Max and Gale?"",""new-1""]","[""In a new match, how likely is it that Ness and Max will beat Indiana and Willow?"",""new-2""]",66.0,85.0,83.0,91.0,57.0,41.0,93.0,59.0
2062,5cc8039e3ef93000171c96b8,tug-of-war_effort_individ-explain-away-bonus,3.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Gale beat Sam.<br>
In the second match, Gale lost to Sam.<br>
In the third match, Sam lost to Blake.<br>
In the fourth match, Sam lost to Quinn.<br>
In the fifth match, Gale beat Taylor.<br>
In the sixth match, Gale beat Willow.<br>",explicit,tug-of-war,"[""How likely is it that Gale tried hard in the second match?"",""latent-1""]","[""How likely is it that Sam tried hard in the first match?"",""latent-2""]","[""How likely is it that Blake tried hard in the third match?"",""latent-3""]","[""How likely is it that Gale is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Sam is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Gale will beat Sam ?"",""new-1""]","[""In a new match, how likely is it that Gale will beat Blake?"",""new-2""]",44.0,84.0,85.0,84.0,11.0,58.0,61.0,59.0
2066,5cc8039e3ef93000171c96b8,canoe-race_effort_individ-strong-indirect-4,3.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
The stronger the athlete, the faster they can individually row.
Athletes also vary in how often they try their hardest in any given race.
If an athlete doesn’t try hard in any given match, that athlete only rows about half as quickly as they could.
Each canoe team moves as fast as the average effective speed of all of its athletes in that race.
The canoe team that is the fastest will win a given race.",,"In the first match, Val lost to Ness.<br>
In the second match, Ness lost to Fey.<br>
In the third match, Ness lost to Max.<br>",explicit,canoe-race,"[""How likely is it that Val tried hard in the first match?"",""latent-1""]","[""How likely is it that Ness tried hard in the second match?"",""latent-2""]","[""How likely is it that Fey tried hard in the second match?"",""latent-3""]","[""How likely is it that Val is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Fey is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Val will beat Fey?"",""new-1""]","[""In a new match, how likely is it that Val will beat Max?"",""new-2""]",74.0,47.0,77.0,33.0,41.0,57.0,36.0,36.0
2069,5cc8039e3ef93000171c96b8,canoe-race_effort_team-confounded-partner-10,3.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
The stronger the athlete, the faster they can individually row.
Athletes also vary in how often they try their hardest in any given race.
If an athlete doesn’t try hard in any given match, that athlete only rows about half as quickly as they could.
Each canoe team moves as fast as the average effective speed of all of its athletes in that race.
The canoe team that is the fastest will win a given race.",,"In the first match, Robin and Quinn lost to Willow and Taylor.<br>
In the second match, Robin and Quinn lost to Indiana and Sam.<br>
In the third match, Robin and Quinn lost to Blake and Kay.<br>",explicit,canoe-race,"[""How likely is it that Robin tried hard in the first match?"",""latent-1""]","[""How likely is it that Quinn tried hard in the second match?"",""latent-2""]","[""How likely is it that Indiana tried hard in the second match?"",""latent-3""]","[""How likely is it that Robin is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Quinn is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Indiana is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Robin and Quinn will beat Willow and Kay?"",""new-1""]","[""In a new match, how likely is it that Robin and Willow will beat Quinn and Taylor?"",""new-2""]",79.0,60.0,62.0,16.0,15.0,57.0,13.0,36.0
2072,5cc8039e3ef93000171c96b8,canoe-race_effort_team-round-robin-20,3.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
The stronger the athlete, the faster they can individually row.
Athletes also vary in how often they try their hardest in any given race.
If an athlete doesn’t try hard in any given match, that athlete only rows about half as quickly as they could.
Each canoe team moves as fast as the average effective speed of all of its athletes in that race.
The canoe team that is the fastest will win a given race.",,"In the first match, Kay and Peyton lost to Ollie and Taylor.<br>
In the second match, Kay and Ollie lost to Peyton and Taylor.<br>
In the third match, Kay and Taylor lost to Peyton and Ollie.<br>",explicit,canoe-race,"[""How likely is it that Kay tried hard in the second match?"",""latent-1""]","[""How likely is it that Peyton tried hard in the first match?"",""latent-2""]","[""How likely is it that Ollie tried hard in the first match?"",""latent-3""]","[""How likely is it that Kay is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Peyton is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Ollie is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Kay and Peyton will beat Ollie and Indiana?"",""new-1""]","[""In a new match, how likely is it that Kay and Ollie will beat Peyton and Indiana?"",""new-2""]",59.0,71.0,81.0,10.0,72.0,71.0,49.0,36.0
2082,66a10bef1c9493801a2ba4db,tug-of-war_effort_individ-explain-away-bonus3,2.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Peyton beat Blake.<br>
In the second match, Peyton lost to Blake.<br>
In the third match, Blake lost to Ness.<br>
In the fourth match, Blake lost to Indiana.<br>",implicit,tug-of-war,"[""How likely is it that Peyton is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Peyton tried hard in the second match?"",""latent-1""]","[""How likely is it that Blake tried hard in the first match?"",""latent-2""]","[""How likely is it that Ness tried hard in the third match?"",""latent-3""]","[""In a new match, how likely is it that Peyton will beat Blake ?"",""new-1""]","[""In a new match, how likely is it that Peyton will beat Ness?"",""new-2""]",49.0,26.0,49.0,61.0,41.0,51.0,81.0,50.0
2085,66a10bef1c9493801a2ba4db,tug-of-war_effort_individ-explain-away-91012,2.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Drew lost to Ollie .<br>
In the second match, Drew beat Ollie .<br>
In the third match, Drew beat Ollie.<br>
In the fourth match, Peyton beat Robin.<br>",implicit,tug-of-war,"[""How likely is it that Drew is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Ollie is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Robin is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Drew tried hard in the first match?"",""latent-1""]","[""How likely is it that Ollie tried hard in the second match?"",""latent-2""]","[""How likely is it that Robin tried hard in the fourth match?"",""latent-3""]","[""In a new match, how likely is it that Drew will beat Ollie ?"",""new-1""]","[""In a new match, how likely is it that Drew will beat Robin?"",""new-2""]",73.0,27.0,50.0,46.0,84.0,51.0,90.0,84.0
2088,66a10bef1c9493801a2ba4db,tug-of-war_effort_team-confounded-opponent-12,2.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Taylor and Peyton lost to Fey and Jamie.<br>
In the second match, Taylor and Quinn lost to Fey and Robin.<br>
In the third match, Taylor and Willow lost to Fey and Lane.<br>",implicit,tug-of-war,"[""How likely is it that Taylor is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Peyton is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Fey is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Taylor tried hard in the second match?"",""latent-1""]","[""How likely is it that Peyton tried hard in the first match?"",""latent-2""]","[""How likely is it that Fey tried hard in the second match?"",""latent-3""]","[""In a new match, how likely is it that Taylor and Peyton will beat Quinn and Lane?"",""new-1""]","[""In a new match, how likely is it that Taylor and Fey will beat Peyton and Jamie?"",""new-2""]",4.0,27.0,32.0,7.0,88.0,89.0,51.0,49.0
2092,66a10bef1c9493801a2ba4db,canoe-race_effort_team-explain-away-11,2.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Willow and Casey beat Ness and Max.<br>
In the second match, Willow and Ollie beat Ness and Robin.<br>
In the third match, Willow and Fey beat Ness and Quinn.<br>
In the fourth match, Willow and Casey lost to Ness and Max.<br>",implicit,canoe-race,"[""How likely is it that Willow is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Casey is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Willow tried hard in the fourth match?"",""latent-1""]","[""How likely is it that Casey tried hard in the first match?"",""latent-2""]","[""How likely is it that Ness tried hard in the second match?"",""latent-3""]","[""In a new match, how likely is it that Willow and Casey will beat Ollie and Quinn?"",""new-1""]","[""In a new match, how likely is it that Willow and Ness will beat Casey and Max?"",""new-2""]",81.0,27.0,34.0,87.0,86.0,52.0,73.0,51.0
2095,66a10bef1c9493801a2ba4db,canoe-race_effort_team-strong-indirect-14,2.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Lane and Sam lost to Jamie and Ness.<br>
In the second match, Sam and Drew beat Jamie and Ness.<br>
In the third match, Sam and Blake beat Jamie and Ness.<br>",implicit,canoe-race,"[""How likely is it that Lane is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Sam is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Jamie is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Lane tried hard in the first match?"",""latent-1""]","[""How likely is it that Sam tried hard in the second match?"",""latent-2""]","[""How likely is it that Jamie tried hard in the second match?"",""latent-3""]","[""In a new match, how likely is it that Lane and Sam will beat Drew and Jamie?"",""new-1""]","[""In a new match, how likely is it that Lane and Jamie will beat Sam and Ness?"",""new-2""]",29.0,81.0,34.0,51.0,97.0,51.0,53.0,51.0
2098,66a10bef1c9493801a2ba4db,canoe-race_effort_individ-explain-away-bonus2,2.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Kay lost to Sam.<br>
In the second match, Kay beat Sam.<br>
In the third match, Sam beat Willow.<br>
In the fourth match, Sam beat Blake.<br>
In the fifth match, Kay lost to Peyton.<br>
In the sixth match, Kay lost to Jamie.<br>",implicit,canoe-race,"[""How likely is it that Kay is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Sam is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Willow is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Kay tried hard in the second match?"",""latent-1""]","[""How likely is it that Sam tried hard in the first match?"",""latent-2""]","[""How likely is it that Willow tried hard in the third match?"",""latent-3""]","[""In a new match, how likely is it that Kay will beat Sam ?"",""new-1""]","[""In a new match, how likely is it that Kay will beat Willow?"",""new-2""]",40.0,63.0,39.0,96.0,95.0,29.0,53.0,71.0
